ID,Year,University Name English,I,We,You,She/He,They,Affiliation,Achievement,Power,All-or-none,Insight,Causation,Tentative,Certitude,Leisure,Home,Work,Money,Past Focus,Present Focus,Future Focus,WB: Direction,WB: Prosociality,WB: Means,WB: Identity,WB: Motivation,WB: Coherence,WB: Significance,WB: Spiritual,WB: Social Connections,WB: Purpose,WB: Meaning,Mindfulness
1426,2014,Seoul Womens University,0,1.88,0.4,0,1.21,3.16,3.7,1.88,0.13,3.56,3.43,0.81,0.13,0.34,0.13,7.87,4.24,1.88,4.03,3.5,1.21,1.34,1.14,0.94,1.81,0.27,1.95,0.74,1.14,2.08,2.02,1.21
1421,2014,Sogang University,0.17,5.31,0.41,0.33,1.74,6.63,2.65,1.24,0.41,3.32,2.49,0.91,0.25,2.32,0.25,5.89,3.4,3.73,3.98,2.24,1.33,0.5,0.66,0.75,1.66,1.24,1.08,0.66,0.91,1.99,1.24,1.58
1403,2014,Soongsil University,0,5.14,0.33,1.38,1.98,7.05,3.43,0.92,0.79,1.98,3.36,1.91,0.46,0.13,1.58,4.28,1.91,3.49,5.73,1.91,2.31,1.52,1.12,1.38,3.03,1.25,3.1,0.59,1.58,3.49,2.83,1.71
1410,2014,Sungkyunkwan University,0.12,4.25,0.12,1.09,3.34,5.77,3.71,1.34,0.61,2.31,2.67,0.49,0.12,0.24,0.12,7.65,1.34,3.1,4.43,0.79,2.61,0.97,1.22,2.67,3.22,2.55,2.19,1.88,2.37,3.83,2.61,2.07
1434,2014,University of Seoul,0.11,3.35,0.79,0.17,1.42,4.37,1.99,0.96,0.51,2.27,2.78,0.91,0.11,1.3,0.06,6.92,4.65,4.08,4.99,0.79,0.45,0.68,0.51,0.17,0.79,0.34,0.79,0.4,0.62,1.13,1.13,1.19
1407,2014,University of Suwon,0,3.69,0.21,0,1.64,5.28,2.92,1.23,0.36,2.87,2.98,0.26,0.05,0.41,0,5.95,2.67,1.49,4.77,1.95,3.69,1.18,2.1,2.67,4.31,1.54,3.28,1.39,2.21,5.13,3.85,1.44
1404,2014,Yonsei University,0,5.02,0,0.12,1.96,6.46,3.35,1.44,0.17,1.96,2.42,0.69,0.06,0.06,0.06,7.73,2.77,3.4,3.92,0.52,1.79,1.62,1.62,1.21,3,1.67,3.12,0.69,1.62,3.17,3.06,1.5
1513,2015,Catholic University of Korea,0,3.38,0.11,0.06,3.38,4.41,3.95,0.69,0.46,1.83,3.09,0.51,0.06,0.74,0.11,6.64,4.06,2.06,6.12,0.74,2.12,1.49,1.26,0.46,3.2,1.26,3.2,0.17,1.03,4.23,3.83,1.37
1533,2015,Chung Ang University,0.25,5.57,0.89,0.05,2.96,7.39,2.81,0.79,0.59,2.56,2.32,1.03,0.2,0.79,0,6.4,2.12,2.32,5.47,2.12,1.38,0.89,0.89,0.74,1.92,1.13,2.36,0.15,0.69,2.41,2.51,2.51
1521,2015,Dankook University,0.58,4.43,0.05,3.85,1.05,6.06,2.16,0.95,0.95,2.21,3.16,0.58,0.16,0,0,6.06,3.85,5.01,3.95,1.26,1,0.95,0.9,0.84,1.53,0.58,1.32,0.42,1.05,2.42,2.16,2.21
1530,2015,Dongguk University,0,4.14,0.13,0.26,1.71,5.25,2.23,0.66,0.85,3.94,2.63,0.79,0.07,0,0.07,5.78,5.06,3.68,4.01,1.9,0.46,0.39,0.26,0.39,0.72,0.72,1.12,0.2,0.46,1.64,1.97,1.38
1516,2015,Ewha Womans University,0.3,2.76,0.96,0.3,3.78,4.32,1.44,0.9,1.14,2.7,1.62,1.08,0.06,0.9,0.12,1.38,1.56,3.36,5.52,1.26,0.54,1.44,0.42,0.84,1.32,0.84,1.5,0.36,1.44,1.98,2.1,2.16
1528,2015,Gachon University,0,4.09,0.36,0.3,2.89,4.51,3.07,0.84,0.3,2.95,1.74,0.48,0,1.32,0.12,7.4,1.32,4.15,4.27,1.5,1.62,0.72,1.38,1.5,2.05,0.48,1.74,0.48,0.96,2.47,2.05,1.32
